,Liver Extreme Agers,Artery Aorta Extreme Agers,Artery Coronary Extreme Agers,Brain Cortex Extreme Agers,Brain Cerebellum Extreme Agers,Heart Extreme Agers,Adipose Subcutaneous Extreme Agers,Lung Extreme Agers,Skin Sun Exposed Extreme Agers,Nerve Tibial Extreme Agers,Colon Sigmoid Extreme Agers,Pancreas Extreme Agers,Multi-Organ Extreme Agers
adipose_subcutaneous,1.3991119279578275,0.9602968746698552,0.47248468428856133,1.0295147208877176,0.8784502869621521,0.6565021362626516,2.3765049699812755,1.4756121124709614,1.0436734053978067,1.1800142265313427,1.2821700916427925,0.8958573316789035,2.0473792481156745
artery_aorta,0.7806084882064808,2.3888803249680577,1.4374296017840122,0.14924304322386497,0.503555364638896,0.6378439894720092,1.16610362024773,0.7273059628330814,0.8108318699480458,1.071152462172829,0.7394786969322206,1.037172411135367,1.86142619523523
artery_coronary,0.7196467722860881,1.4315239280273901,2.543546477646945,0.2930839978665575,0,0.8561537895864033,0.7529260524448433,0.8097842523181472,0.38730259196979805,1.1007348370106889,0.815008760106928,0.39080188905788993,1.0116409659422112
brain_cerebellum,0.44403371605227737,0.7021511472480899,0.33156243060246754,0.7965076388439645,2.3728533731056767,1.0195531094681094,1.0921796218276303,0.7819919253248947,0.9976459688395982,1.0997956849280435,0.638167814414647,0,0
brain_cortex,0.4083122951169991,0.8826588061347832,0.5843306171058206,2.81900118068841,0.5261413684282903,0.5966902515697444,0.5545045897844258,0.09073238516896423,0.5453811075363185,0.8777703619633213,1.1204412786036542,0,0
colon_sigmoid,0.814376280490993,0.5811928508922111,0.8040641629923929,1.6527668058226042,0.5844416775002407,0.8158530746181908,1.4232303590066924,1.3074151126329938,1.164012594690957,0.9133918397218499,2.408683441159489,0.8654122372112838,1.452356523108053
heart,0.5767757109640749,0.7788982744907874,1.331337776564067,0.48516909147848125,1.4146790636964888,2.3773398268161254,0.4248447113477027,0.8477213831284196,1.0206856467899001,0.8811058525915291,0.9956599774636796,0.8241902194286251,1.6528123293132608
liver,3.1884468076087433,0.774031458892939,0.29739512826405246,0.5605340062756569,0.702862281735609,0.5787627672848008,1.3762061246384452,1.5453660240913156,0.9283821516888588,0.8403063446307439,1.3002828574847698,0.41139720749027586,3.1603399536383416
lung,1.7148853796533747,0.709117028366446,0.6522249613662545,0.5296277299933915,0.7255264056276922,0.6887949234767955,1.1668108849915841,2.465841539241395,0.8615063769631659,1.5202973713191523,1.1762447384031611,1.0932190734523854,2.3433394968702466
nerve_tibial,1.436043958981025,0.5869959135694988,1.180292173400895,1.084177625330555,1.05411364445489,0.9564423029300034,0.8315511174041205,1.2335218006430921,0.8982847153370233,2.4754885714009993,1.038087579069206,1.217571185477541,1.6428433930420774
pancreas,1.3697300699539299,0.5335670685461433,0.3670587877986632,0.7738928478890474,0.8568108254084745,0.7684876102986445,0.7914551574955833,1.3410928694795938,1.3478415323029833,1.2271644269696216,1.2490858090005421,2.4453056300247122,1.7868551384999207
skin_sun_exp,1.415759107109164,0.5724903856914499,0.5662430396366072,0.6908549484100915,0.8818444427248343,0.8309492045509417,0.8181375150529762,1.008741436971965,2.3949979296601867,1.0123163566005817,0.9551628544417213,1.3399832306915025,1.71254036036822
