ENSG00000145832.12
ENSG00000112333.11
ENSG00000140931.19
ENSG00000230084.5
ENSG00000250697.1
ENSG00000162722.8
ENSG00000246627.6
ENSG00000280241.3
ENSG00000163219.11
ENSG00000205045.8
ENSG00000149260.15
ENSG00000109794.13
ENSG00000145506.13
ENSG00000240065.7
ENSG00000119514.6
ENSG00000183160.8
ENSG00000244694.7
ENSG00000232977.6
ENSG00000234882.1
ENSG00000185008.17
ENSG00000182179.12
ENSG00000283586.1
ENSG00000141519.14
ENSG00000228459.3
ENSG00000180264.11
ENSG00000259583.2
ENSG00000205795.4
ENSG00000235961.5
ENSG00000113212.6
ENSG00000277734.7
ENSG00000235933.1
ENSG00000267733.5
ENSG00000230524.8
ENSG00000070019.4
ENSG00000163466.15
ENSG00000138316.10
ENSG00000225101.4
ENSG00000249249.1
ENSG00000145824.12
ENSG00000184194.5
ENSG00000170860.3
ENSG00000206195.10
ENSG00000266554.1
ENSG00000177721.4
ENSG00000172986.12
ENSG00000112562.18
ENSG00000240401.8
ENSG00000144057.15
ENSG00000214614.2
ENSG00000116783.14
ENSG00000167210.16
ENSG00000260047.2
ENSG00000136531.15
ENSG00000223863.1
ENSG00000238243.3
ENSG00000231453.1
ENSG00000075035.9
ENSG00000169126.15
ENSG00000007372.21
ENSG00000176998.4
ENSG00000257556.1
ENSG00000283787.1
ENSG00000280721.1
ENSG00000267583.5
ENSG00000146521.9
ENSG00000124562.9
ENSG00000244306.10
ENSG00000128463.12
ENSG00000196460.12
ENSG00000120328.6
ENSG00000139194.7
ENSG00000224999.1
ENSG00000198208.11
ENSG00000259882.2
ENSG00000145423.4
ENSG00000226057.6
ENSG00000132837.14
ENSG00000132517.14
ENSG00000159674.11
ENSG00000189129.13
ENSG00000230587.1
ENSG00000197536.11
ENSG00000143320.8
ENSG00000181291.6
ENSG00000108379.9
ENSG00000272872.1
ENSG00000081041.8
ENSG00000207296.1
ENSG00000087077.13
ENSG00000225210.9
ENSG00000165092.12
ENSG00000136514.2
ENSG00000113068.9
ENSG00000214290.8
ENSG00000175356.12
ENSG00000116852.14
ENSG00000171241.8
ENSG00000166482.11
ENSG00000255442.1
ENSG00000117133.10
ENSG00000242908.6
ENSG00000065518.7
ENSG00000233858.4
ENSG00000278071.1
ENSG00000167992.12
ENSG00000048540.14
ENSG00000262061.5
ENSG00000272382.1
ENSG00000141622.13
ENSG00000233695.2
ENSG00000164778.4
ENSG00000134107.4
ENSG00000197467.13
ENSG00000147889.17
ENSG00000261217.2
ENSG00000112852.6
ENSG00000163564.14
ENSG00000130592.15
ENSG00000225489.6
ENSG00000235725.1
ENSG00000078596.10
ENSG00000224413.1
ENSG00000122882.10
ENSG00000248554.1
ENSG00000229375.1
ENSG00000250971.1
ENSG00000158023.9
ENSG00000156959.8
ENSG00000189366.9
ENSG00000132274.15
ENSG00000250378.2
ENSG00000148688.13
ENSG00000181074.3
ENSG00000136378.14
ENSG00000248240.1
ENSG00000272674.3
ENSG00000170390.15
ENSG00000037280.15
ENSG00000175600.15
ENSG00000131080.14
ENSG00000133665.12
ENSG00000182950.2
ENSG00000235790.7
ENSG00000164932.12
ENSG00000166278.14
ENSG00000115085.13
ENSG00000244486.8
ENSG00000107317.12
ENSG00000229852.2
ENSG00000155090.14
ENSG00000204613.10
ENSG00000250167.1
ENSG00000185404.16
ENSG00000142156.14
ENSG00000133067.17
ENSG00000133321.10
ENSG00000234290.2
ENSG00000072818.11
ENSG00000155962.12
ENSG00000178053.17
ENSG00000213397.10
ENSG00000103018.16
ENSG00000149403.12
ENSG00000215270.3
