,Name,intercept,AGE_70-79_vs_60-69
0,ENSG00000223972.5,-0.9158946474433612,-0.5151575082267051
1,ENSG00000227232.5,5.311897476635864,0.0803464081166408
2,ENSG00000278267.1,-1.6119669272543982,0.1093342343015965
3,ENSG00000243485.5,-0.6110484903864719,-0.6026634770557883
4,ENSG00000237613.2,-1.2929192807623313,0.12977643709329628
5,ENSG00000268020.3,-0.19408314799797852,0.12668901153088724
6,ENSG00000240361.1,0.21184640206260794,0.1073099971342371
7,ENSG00000186092.4,0.4079770080253647,-0.008621484350921544
8,ENSG00000238009.6,0.6111677237763627,0.4553441381381128
9,ENSG00000233750.3,1.1265428764594083,-0.13447515750921243
10,ENSG00000268903.1,4.899309786094831,-0.027100033638213877
11,ENSG00000269981.1,4.4913564644426325,0.08099455363918928
12,ENSG00000239906.1,1.217219699173653,0.24564809863449744
13,ENSG00000241860.6,3.347111113384741,0.04948215612949433
14,ENSG00000222623.1,-1.6464483900407245,-0.070469103115562
15,ENSG00000241599.1,-1.637828048704236,-0.15051747496482695
16,ENSG00000279928.2,0.39314741317834384,-0.42759138294143856
17,ENSG00000279457.4,5.911742220540529,0.0735769120427492
18,ENSG00000273874.1,-1.6378282820609569,-0.15051743728362635
19,ENSG00000228463.9,4.177110426884462,-0.03537801246278815
20,ENSG00000236679.2,-0.5507840461701067,0.20453253621734646
21,ENSG00000236743.1,-1.4826569301526773,-0.09140400538844382
22,ENSG00000236601.2,-0.2799634476609817,-0.027938010518170724
23,ENSG00000237094.11,3.0269126875398613,0.07283867740943757
24,ENSG00000269732.1,-0.18067299024618286,0.1103660558241694
25,ENSG00000278566.1,0.03387118773855432,-0.2789350127068528
26,ENSG00000233653.3,-0.2837682869611834,0.1374111065792314
27,ENSG00000250575.1,0.3105765947799578,-0.3319496148594009
28,ENSG00000278757.1,-1.5774842764938983,-0.06800516423870716
29,ENSG00000230021.8,1.618350960156419,-0.004525177007422793
30,ENSG00000235146.2,-1.6205874908265843,0.046526340077132716
31,ENSG00000225972.1,6.041443430315082,-1.6102262029386911
32,ENSG00000225630.1,9.615496030948904,0.15395233655230472
33,ENSG00000237973.1,7.949013622861507,-0.26697029892210605
34,ENSG00000229344.1,5.50182928770889,-0.21906503947203526
35,ENSG00000240409.1,4.18239593478691,-0.5751958092629276
36,ENSG00000248527.1,10.590755818959455,-0.12428558321408122
37,ENSG00000198744.5,5.97039948081747,-0.11988919957462521
38,ENSG00000268663.1,-0.5604650857906667,-0.1806471952904101
39,ENSG00000273547.1,-0.28063366958577624,0.43902230567897493
40,ENSG00000283574.1,,
41,ENSG00000229376.3,1.7898909529420282,-0.11844840576106642
42,ENSG00000228327.3,6.26860739114063,0.009302777828741681
43,ENSG00000223181.1,-1.491277640715843,0.06036066306143898
44,ENSG00000229905.1,-0.6496390740947076,-0.07660673000320535
45,ENSG00000237491.8,4.886561879460691,0.03679360459777981
46,ENSG00000230092.7,3.4532569841927354,0.05976630700115763
47,ENSG00000177757.2,3.7028065626528366,0.10678839183358316
48,ENSG00000228794.8,6.724306342033588,-0.017179700518688563
49,ENSG00000225880.5,4.998967162572724,0.11964956031051914
50,ENSG00000230368.2,2.3010733190351558,-0.2105396238465957
51,ENSG00000234711.1,1.4695064449372328,0.04252094687722803
52,ENSG00000283040.1,-0.24525868486508673,-0.12035534513557081
53,ENSG00000272438.1,1.4045527137573,-0.24344627854660258
54,ENSG00000230699.2,3.186884184310157,-0.11258505574375771
55,ENSG00000241180.1,-1.6895517409629217,-0.02736615551380284
56,ENSG00000223764.2,4.182558057459158,-0.0921970294363337
57,ENSG00000187634.11,4.41753032527923,-0.1272114361154347
58,ENSG00000188976.10,8.690795458028305,-0.04977831009358536
59,ENSG00000187961.13,7.075822857595904,0.032799830765161186
60,ENSG00000187583.10,8.361941618056028,0.03334098579249584
61,ENSG00000187642.9,7.226355308350668,0.049742905850575336
62,ENSG00000272512.1,5.626095518763153,-0.07373145817966273
63,ENSG00000188290.10,6.2124102396877126,0.09474230993321336
64,ENSG00000187608.8,5.852466366858147,-0.19518895320033916
65,ENSG00000231702.2,-0.1905360642106472,-0.3838170228944642
66,ENSG00000224969.1,1.8934025269728574,0.12429082009458256
67,ENSG00000188157.14,8.72250379190202,-0.031230829530354366
68,ENSG00000217801.9,5.05768722437245,0.10568510716837187
69,ENSG00000273443.1,1.476735603266245,-0.294932566207487
70,ENSG00000237330.2,5.6307880853239345,0.16692378762998672
71,ENSG00000131591.17,7.336637746790883,0.013350667817863347
72,ENSG00000223823.1,1.3192839087338821,0.16439652721868872
73,ENSG00000207730.3,0.5456430494527613,0.04476653331394679
74,ENSG00000207607.3,0.08389332299487576,-0.1664747048622732
75,ENSG00000198976.1,0.44893063448965376,-0.15682677142719675
76,ENSG00000272141.1,5.435280894960199,0.020398615183172916
77,ENSG00000205231.1,2.3164222630243554,-0.24832524051596613
